GeoID,YearRange,GeoName,StateName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B03003_003,B09002_001,B09002_002,B09002_009,B09002_015,B11001_001,B11001_002,B11001_003,B11001_004,B11001_005,B11001_006,B11002_001,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,C16002_001,C16002_002,C16002_003,C16002_004,C16002_005,C16002_006,C16002_007,C16002_008,C16002_009,C16002_010,C16002_011,C16002_012,C16002_013,C16002_014,B16004_007,B16004_008,B16004_012,B16004_013,B16004_017,B16004_018,B16004_022,B16004_023,B16004_029,B16004_030,B17021_002,B19001_002,B19001_003,B19001_004,B19001_005,B19001_006,B19001_007,B19001_008,B19001_009,B19001_010,B19001_011,B19001_012,B19001_013,B19001_014,B19001_015,B19001_016,B19001_017,B19055_002,B25002_001,B25002_002,B25002_003,B25024_001,B25024_010,B25034_001,B25034_002,B25034_003,B25034_004,B25034_005,B25034_006,B25034_007,B25034_008,B25034_009,B25034_010,B25034_011,B25063_001,B25063_002,B25063_003,B25063_004,B25063_005,B25063_006,B25063_007,B25063_008,B25063_009,B25063_010,B25063_011,B25063_012,B25063_013,B25063_014,B25063_015,B25063_016,B25063_017,B25063_018,B25063_019,B25063_020,B25063_021,B25063_022,B25063_023,B25063_024,B25063_025,B25063_026,B25063_027,B25075_001
0,2014-2018,Coastal US,Coastal US,128225708,62781951,3927098,3897636,4004242,2434460,1649167,898950,880516,2638636,4809138,4520399,4157642,3988222,4149248,4300522,4161851,1581116,2124888,1297732,1728808,2194664,1512719,1006395,917913,65443815,3752640,3754781,3830770,2335768,1571134,831868,823476,2553275,4691773,4487310,4223282,4070593,4295851,4509764,4470638,1732878,2369557,1469131,1991974,2628059,1910010,1421307,1717982,83348794,19100425,666763,10942676,341176,9075993,4749924,804091,3945833,29977387,24325341,16730497,1700970,5893875,46938117,30533205,21828679,8704526,2365606,6338920,125426431,88441351,42451255,732625,393417,812409,677383,678069,685979,789849,906083,10847968,2268185,5881416,3047752,8858935,3814901,1251463,804823,45990109,829269,458121,858495,700323,643634,653782,774239,839537,11165196,2592522,6233898,4049834,9801858,4806153,987027,596221,46938117,32393873,8039653,2252163,5787490,3128028,548731,2579297,2707355,730112,1977243,669208,110108,559100,258992,196751,42791,10529,48746,4494,13478,2850,2933070,1762458,17611741,3066567,2095997,2019450,2054565,1990623,1979154,1846585,1886164,1661555,3310688,4313262,5647512,4241945,2957867,3480962,4385221,14202014,53409193,46938117,6471079,53409193,1900063,53409193,695636,1098214,6166385,5989937,7003247,8041925,6489272,6579217,3192931,8152432,18901734,18107235,63898,53816,91519,258193,252768,204530,189166,194856,210577,254610,281203,353934,395413,469068,511225,1169493,1323311,3142697,2529680,3278546,1508269,686970,374464,309029,794499,28036383
1000,2014-2018,Alabama,AL,622766,299116,19359,18477,22394,12697,7398,4293,3703,11597,20406,18324,17572,18515,18393,20335,20202,7374,11966,7332,9323,12403,8361,5254,3438,323650,19219,19561,20020,12287,7391,3667,3898,12117,21647,20159,19868,18988,20351,21934,22332,9518,12489,7641,11107,14830,10251,6833,7542,423183,167198,4437,9797,71,7038,11041,1091,9950,21326,123032,80397,6467,36168,234453,153135,109478,43657,8952,34705,610804,424688,199198,2427,545,895,3002,4028,6531,6736,3971,65463,11331,31163,14184,32927,10329,3712,1954,225490,2353,384,912,2653,3361,5296,6199,3264,68102,13783,36534,21793,39537,17127,2734,1458,234453,219764,7787,1434,6353,3038,303,2735,2974,825,2149,890,212,678,271,10,0,54,85,0,0,0,1172,365,99861,18962,13445,14751,12822,12794,12873,11541,11235,8809,19322,23039,27419,17291,11054,10011,9085,85091,295109,234453,60656,295109,27158,295109,4515,9920,58310,53363,46423,49516,29602,24086,9873,9501,75452,68201,218,164,567,1209,1117,1439,1160,1126,1735,2525,2196,3621,3408,4011,4192,7575,8439,14011,5242,3127,714,102,104,199,7251,159001
1003,2014-2018,Baldwin County,AL,208107,101188,5855,5551,7544,4134,2379,1079,918,3444,5874,5704,6092,6233,6555,7200,6907,2625,4224,2631,3716,5303,3512,2239,1469,106919,5754,6138,6779,3922,2272,1198,837,3314,5951,5797,6336,6716,7139,7436,7533,3080,4922,2777,4017,6107,3861,2553,2480,179525,19764,1522,1680,9,2034,3572,603,2969,9353,39709,31678,1667,6364,78622,51359,41452,9907,2422,7485,205093,146989,70284,745,212,313,962,1342,2173,1285,1203,19837,4507,10748,5292,14574,4688,1748,655,76705,610,136,298,702,670,1141,1457,1061,20742,5423,11588,8467,15857,6650,1244,659,78622,72775,3874,831,3043,1470,122,1348,488,167,321,15,0,15,114,0,0,54,0,0,0,0,482,77,21653,4227,4078,3484,3732,4095,4531,3835,3762,2992,7406,7738,9691,6240,4435,4347,4029,31152,111945,78622,33323,111945,13075,111945,2916,4554,33209,27822,19266,11365,5929,3109,1862,1913,20741,17975,47,35,161,158,126,348,246,188,441,736,514,777,737,964,845,1553,1920,4245,1829,1405,414,51,94,141,2766,57881
1097,2014-2018,Mobile County,AL,414659,197928,13504,12926,14850,8563,5019,3214,2785,8153,14532,12620,11480,12282,11838,13135,13295,4749,7742,4701,5607,7100,4849,3015,1969,216731,13465,13423,13241,8365,5119,2469,3061,8803,15696,14362,13532,12272,13212,14498,14799,6438,7567,4864,7090,8723,6390,4280,5062,243658,147434,2915,8117,62,5004,7469,488,6981,11973,83323,48719,4800,29804,155831,101776,68026,33750,6530,27220,405711,277699,128914,1682,333,582,2040,2686,4358,5451,2768,45626,6824,20415,8892,18353,5641,1964,1299,148785,1743,248,614,1951,2691,4155,4742,2203,47360,8360,24946,13326,23680,10477,1490,799,155831,146989,3913,603,3310,1568,181,1387,2486,658,1828,875,212,663,157,10,0,0,85,0,0,0,690,288,78208,14735,9367,11267,9090,8699,8342,7706,7473,5817,11916,15301,17728,11051,6619,5664,5056,53939,183164,155831,27333,183164,14083,183164,1599,5366,25101,25541,27157,38151,23673,20977,8011,7588,54711,50226,171,129,406,1051,991,1091,914,938,1294,1789,1682,2844,2671,3047,3347,6022,6519,9766,3413,1722,300,51,10,58,4485,101120
2000,2014-2018,Alaska,AK,616141,319539,22460,22242,21816,13093,7724,4333,5205,15326,26172,24636,21874,18457,19829,21677,22144,8352,11140,6570,7735,9045,4958,2752,1999,296603,21819,21510,20085,12017,6628,3750,3694,12015,23798,22410,19838,17833,18365,19806,21254,8125,9654,5652,7487,8942,4858,3522,3541,394926,19504,87176,43166,8284,9644,53442,3299,50143,42633,136096,99210,11935,24951,210549,139218,104142,35076,12288,22788,594651,402425,207340,1315,651,777,1987,1572,2917,3708,2345,65493,14848,40186,16419,34387,13769,4579,2387,195085,1829,929,1055,1957,1229,2387,2503,2381,49193,14913,37412,17127,39682,17258,3682,1548,210549,169932,10095,1000,9095,6569,468,6101,12674,2615,10059,11279,784,10495,241,0,55,3,650,78,85,2,1213,276,64371,8519,6178,6743,7285,7410,6758,7137,7944,6332,14609,23068,29495,24782,17028,19827,17434,47089,259479,210549,48930,259479,12432,259479,2373,6568,42411,37577,65722,61592,22400,12314,4060,4462,74453,68278,198,97,115,281,439,600,822,950,560,940,678,1096,810,1556,1698,4379,6102,14207,11565,12231,6570,1666,490,228,6175,136096
2013,2014-2018,Aleutians East Borough,AK,3425,1989,48,63,101,41,36,30,3,116,197,119,151,165,223,240,156,55,104,23,40,33,20,9,16,1436,60,40,68,67,26,0,3,86,80,97,118,72,159,205,107,34,53,63,20,33,24,7,14,605,144,1349,878,25,159,265,33,232,346,421,204,47,170,860,538,346,192,79,113,2236,2637,1551,4,19,24,45,43,26,42,11,717,45,321,122,88,31,0,13,1086,11,25,12,33,8,20,20,15,344,77,237,80,147,54,0,3,860,720,22,10,12,9,0,9,92,18,74,17,0,17,0,0,0,0,0,0,0,0,119,36,525,34,35,36,45,33,37,40,17,27,64,97,138,101,49,58,49,182,1106,860,246,1106,48,1106,3,23,57,143,409,287,100,23,36,25,328,183,0,0,4,2,7,0,0,5,0,0,3,0,3,14,18,18,19,58,8,20,4,0,0,0,145,532
2016,2014-2018,Aleutians West Census Area,AK,5750,3432,118,159,121,68,106,63,65,192,275,323,263,297,324,432,252,134,77,41,32,61,20,7,2,2318,122,200,119,56,45,38,48,123,218,182,170,124,158,201,172,69,102,50,51,24,18,20,8,1699,246,651,2300,148,314,392,107,285,798,832,576,111,145,1176,716,510,206,87,119,4380,4107,2540,17,42,29,12,10,46,38,33,1135,62,590,146,299,67,2,12,1567,26,37,57,15,25,30,29,13,529,36,350,125,237,44,7,7,1176,519,81,9,72,31,4,27,445,76,369,100,14,86,30,0,0,0,3,0,1,0,11,20,472,23,27,30,15,32,36,29,25,41,88,130,227,157,94,110,112,151,1967,1176,791,1967,16,1967,8,25,97,388,447,637,94,39,180,52,845,415,3,0,5,6,5,6,12,8,4,9,13,21,5,13,1,13,19,46,65,91,57,6,2,5,430,331
2020,2014-2018,Anchorage Municipality,AK,296111,151144,11095,10351,10132,6057,3645,2358,2811,8481,14102,12595,10662,8472,9181,9581,9521,3735,4540,2550,3267,3832,2108,1232,836,144968,10671,10196,9078,5617,3107,2010,1751,6758,13000,11866,10114,8673,8990,9611,10093,3531,4235,2383,3301,4165,2230,1798,1790,186522,16439,21876,28445,6890,6813,29127,1864,27263,26847,65807,47291,5540,12976,106524,70176,52005,18171,5921,12250,288674,191994,96214,850,221,265,474,408,1213,1062,1091,25021,6681,18618,8189,19723,7970,2964,1464,95780,1176,457,522,745,352,820,853,1358,20732,7211,17480,8476,22354,9739,2547,958,106524,84620,6491,828,5663,3752,273,3479,8874,1734,7140,2787,173,2614,187,0,28,0,515,78,34,0,889,120,26498,3378,2491,2532,3273,3569,2924,3320,4191,3084,7192,12101,14804,12537,9172,11055,10901,19985,116493,106524,9969,116493,5271,116493,856,2887,14226,13261,30679,33471,12370,6799,1536,408,41697,40237,97,52,0,106,166,178,289,355,191,396,263,394,205,524,633,2380,3491,8747,7326,7633,4899,1346,389,177,1460,64827
2050,2014-2018,Bethel Census Area,AK,18040,9381,955,906,935,542,293,109,128,437,766,630,574,440,494,574,447,158,365,123,171,155,117,49,13,8659,908,908,808,485,274,129,156,390,735,610,498,452,419,432,409,165,225,114,92,236,71,85,58,1986,119,14927,187,3,124,694,15,679,429,4563,3147,571,845,4558,3478,2041,1437,559,878,17189,9677,5076,28,95,43,179,133,137,237,50,2505,272,659,175,388,112,50,13,4601,30,132,56,190,70,192,209,17,1866,345,559,304,358,229,34,10,4558,1323,63,0,63,36,1,35,70,26,44,3066,314,2752,0,0,0,0,0,0,25,2,12,0,4871,379,245,283,265,207,218,167,173,183,341,385,551,429,249,301,182,1104,6027,4558,1469,6027,210,6027,24,166,1041,1100,1711,1337,457,109,38,44,1774,1248,1,4,4,11,14,33,43,23,19,53,23,24,20,27,20,48,29,215,156,331,129,21,0,0,526,2784
2060,2014-2018,Bristol Bay Borough,AK,890,526,30,24,29,17,7,1,8,24,31,16,46,39,35,69,46,18,32,9,14,13,9,5,4,364,22,27,30,15,6,0,4,1,21,23,26,24,30,21,58,11,14,5,7,5,6,5,3,501,4,291,3,2,8,81,0,81,32,170,107,21,42,333,209,160,49,18,31,816,645,386,1,4,2,6,0,6,2,0,160,26,96,21,53,9,0,0,259,0,3,0,3,0,4,4,1,65,4,67,26,63,17,2,0,333,307,8,2,6,1,0,1,1,0,1,16,0,16,0,0,0,0,0,0,0,0,0,0,50,9,6,16,8,14,9,15,6,10,23,30,56,30,39,36,26,63,940,333,607,940,43,940,0,19,83,207,268,184,62,36,19,62,157,122,0,0,0,1,1,0,2,1,4,3,6,5,1,2,7,19,9,20,24,11,6,0,0,0,35,176
